Date,Strategy,Signal,EntryPrice,ExitPrice,P&L
2019-11-08,gaussian_macd,BUY,9231.81,8781.14,-450.6700000000001
2020-01-23,gaussian_macd,BUY,8174.34,8414.87,240.53000000000063
2020-02-26,gaussian_macd,BUY,9766.99,8790.39,-976.6000000000004
2020-09-03,gaussian_macd,BUY,9518.56,10158.14,639.5799999999999
2021-01-21,gaussian_macd,BUY,11739.23,30748.54,19009.31
2021-04-07,gaussian_macd,BUY,37633.27,55921.81,18288.54
2021-05-12,gaussian_macd,BUY,63555.57,49734.81,-13820.760000000002
2021-11-16,gaussian_macd,BUY,48141.86,60082.69,11940.830000000002
2022-04-06,gaussian_macd,BUY,46829.01,43127.38,-3701.6300000000047
2022-06-12,gaussian_macd,BUY,31760.68,26605.92,-5154.760000000002
2022-08-19,gaussian_macd,BUY,23393.18,20832.56,-2560.619999999999
2022-11-08,gaussian_macd,BUY,20766.5,18537.65,-2228.8499999999985
2023-02-09,gaussian_macd,BUY,17782.0,21798.17,4016.1699999999983
2023-06-05,gaussian_macd,BUY,28063.46,25725.97,-2337.489999999998
2023-07-24,gaussian_macd,BUY,28316.76,29175.51,858.75
2023-08-16,gaussian_macd,BUY,29774.97,28734.96,-1040.010000000002
2023-10-11,gaussian_macd,BUY,27994.99,26879.99,-1115.0
2024-01-22,gaussian_macd,BUY,46901.44,39553.71,-7347.730000000003
2024-02-23,gaussian_macd,BUY,45313.39,50754.22,5440.830000000002
2024-08-02,gaussian_macd,BUY,64588.45,61536.09,-3052.3600000000006
2024-09-05,gaussian_macd,BUY,64020.9,56144.58,-7876.32
2025-02-02,gaussian_macd,BUY,104151.35,97692.6,-6458.75
2025-06-21,gaussian_macd,BUY,96522.73,101976.53,5453.800000000003
