FastMA,SlowMA,RSI,Sharpe,WinRate,CumulativeReturn
5,100,50,0.8880232439464458,51.71102661596958,10.781286353393444
5,50,50,0.7798020838559353,51.48963730569949,7.588723155781562
10,100,50,0.7529641864971941,51.534225019669556,5.594000882147611
10,50,50,0.7410172170671758,51.06382978723404,6.229292182388764
5,100,30,0.7188644801639898,51.474392136575275,6.3130843589351855
15,100,50,0.7104940768495721,51.6680227827502,4.627779225283005
5,100,70,0.7034523069231212,52.121212121212125,2.7088556744261836
5,50,30,0.7011638600873964,51.66666666666667,5.887142334906904
15,50,50,0.6575098574983712,50.256410256410255,4.126825406075705
10,100,70,0.6231340033734688,51.605995717344754,2.0456174629089703
10,50,30,0.5835289406955557,50.96870342771982,3.132322079400936
15,100,70,0.5755135616549717,52.18390804597701,1.7104289289088048
10,20,50,0.5503598250172141,50.59965733866362,2.543783623387515
5,20,50,0.5350518128744357,50.326797385620914,2.343798661422526
10,50,70,0.533702890939691,51.02420856610801,1.556883432546158
15,20,50,0.48288949360753214,49.87277353689568,1.688246508376559
5,50,70,0.47835963208749605,51.06382978723404,1.2586029339518903
15,50,30,0.4682958552133517,50.15259409969482,1.5273243813973534
10,100,30,0.4592102705159264,51.338582677165356,1.3294173047583415
10,20,70,0.44760158366427566,51.103565365025474,1.1160463130219962
15,50,70,0.4369075450718716,49.59183673469388,0.9954285082059837
5,20,70,0.42835979445566014,51.09983079526227,1.01678913502939
15,100,30,0.4066862320975654,51.361452215696744,0.868654169842769
15,20,70,0.3423802282198479,50.35971223021583,0.6172425295929544
5,20,30,0.315280920926166,49.97611084567606,0.27635783074286246
10,20,30,0.3094918634914475,50.40650406504065,0.24424888481535323
15,20,30,0.21296731761196802,49.416909620991255,-0.17719769750610304
